Newport,Newport,BayArea,BayArea,Newport,BayArea
Fst_hist,Fst_Mod,Fst_hist,Fst_Mod,deltaFst,deltaFst
-0.03982684,0,-0.022112352,-0.026737421,0.03982684,-0.004625069
-0.03982684,0,-0.022112352,-0.026737421,0.03982684,-0.004625069
-0.03982684,0.008,-0.022112352,0.051865589,0.04782684,0.073977941
-0.03982684,0.008,-0.022112352,0.051865589,0.04782684,0.073977941
-0.03982684,0.095238095,-0.022112352,0.06557377,0.135064935,0.087686122
-0.03982684,0.095238095,-0.022112352,-0.023758661,0.135064935,-0.001646309
-0.03982684,-0.043478261,-0.022112352,-0.023758661,-0.003651421,-0.001646309
-0.03982684,0.047619048,-0.022112352,-0.02078945,0.087445888,0.001322902
-0.03982684,0.047619048,-0.022112352,-0.02078945,0.087445888,0.001322902
-0.03982684,-0.013546366,-0.022112352,-0.023143684,0.026280474,-0.001031332
-0.03982684,-0.033939394,-0.022112352,-0.023143684,0.005887446,-0.001031332
-0.03982684,-0.033939394,-0.022112352,0.033025335,0.005887446,0.055137687
-0.03982684,0.08,-0.022112352,0.033025335,0.11982684,0.055137687
-0.03982684,0.08,-0.022112352,0.032786885,0.11982684,0.054899237
-0.03982684,-0.033154762,-0.022112352,0.018266979,0.006672078,0.040379331
-0.03982684,0,-0.022112352,0,0.03982684,0.022112352
-0.039652752,0.015686275,-0.022112352,0.081804511,0.055339027,0.103916863
-0.039652752,0.015686275,-0.022112352,0.081804511,0.055339027,0.103916863
-0.039244908,0,-0.022112352,-0.008106647,0.039244908,0.014005705
-0.039244908,0,-0.022112352,-0.008106647,0.039244908,0.014005705
-0.039244908,0.096,-0.022112352,0,0.135244908,0.022112352
-0.039244908,0.096,-0.022112352,0,0.135244908,0.022112352
-0.039244908,0.025142857,-0.022112352,0.016393443,0.064387765,0.038505795
-0.039244908,0.026666667,-0.022112352,0.016393443,0.065911575,0.038505795
-0.039244908,0.026666667,-0.022112352,0.015524005,0.065911575,0.037636357
-0.039244908,0.06,-0.022112352,0.015524005,0.099244908,0.037636357
-0.039244908,0.06,-0.022112352,0.032786885,0.099244908,0.054899237
-0.03914397,0.002845528,-0.022112352,0.032786885,0.041989498,0.054899237
-0.039002465,0.064,-0.022112352,0.032786885,0.103002465,0.054899237
-0.039002465,0.064,-0.022112352,-0.008106647,0.103002465,0.014005705
-0.039002465,0.000536553,-0.022112352,-0.008106647,0.039539018,0.014005705
-0.039002465,0.02,-0.022112352,-0.023255814,0.059002465,-0.001143462
-0.039002465,0.02,-0.022112352,-0.028614009,0.059002465,-0.006501657
-0.039002465,0.08,-0.022112352,-0.028614009,0.119002465,-0.006501657
-0.039002465,0.16,-0.022112352,0.06557377,0.199002465,0.087686122
-0.039002465,0.16,-0.022112352,0.06557377,0.199002465,0.087686122
-0.039002465,-0.002666667,-0.022112352,-0.028614009,0.036335798,-0.006501657
-0.039002465,-0.002666667,-0.022112352,-0.028614009,0.036335798,-0.006501657
